Date,Headline,Headline_preprocessed,Sentiment
2023-05-23T18:51:33Z,Netflix starts charging for account sharing in the US,netflix start charg account share u,Neutral
2023-05-23T10:45:54Z,Netflix makes it easier to find titles you've added to your list but haven't watched yet,netflix make easier find titl 've ad list n't watch yet,Neutral
2023-05-22T18:16:14Z,Netflix is making it easier to find saved shows and movies you still haven’t watched,netflix make easier find save show movi still ’ watch,Neutral
2023-05-06T13:30:27Z,Netflix is launching a remastered 'World of Goo' on May 23rd,netflix launch remast 'world goo ' may 23rd,Neutral
2023-05-11T15:56:41Z,"Netflix canceled its in-person upfront, probably to avoid the WGA’s picket lines","netflix cancel in-person upfront , probabl avoid wga ’ picket line",Neutral
2023-05-09T15:45:37Z,Quick fixes: take a screenshot on your streaming video service,quick fix : take screenshot stream video servic,Positive
2023-05-04T17:20:00Z,Netflix's One Piece Series Gets an Update From Eiichiro Oda,netflix 's one piec seri get updat eiichiro oda,Neutral
2023-06-01T15:35:19Z,"One Piece, 3 Body Problem, and The Last Airbender are all coming to Netflix’s Tudum","one piec , 3 bodi problem , last airbend come netflix ’ tudum",Neutral
2023-05-10T14:20:00Z,"Updates From TMNT: Mutant Mayhem, and More","updat tmnt : mutant mayhem ,",Neutral
2023-05-04T18:52:44Z,Netflix’s One Piece adaptation sounds like it might have hit some choppy waters,netflix ’ one piec adapt sound like might hit choppi water,Positive
2023-05-25T20:00:00Z,"From Disney+ to Max, Here Are the Best Streaming Services","disney+ max , best stream servic",Positive
2023-05-02T14:15:04Z,Tinder's parent company is leaving Russia over a year after the Ukraine invasion,tinder 's parent compani leav russia year ukrain invas,Neutral
2023-05-19T20:46:58Z,Disney+ and Hulu will remove a slew of titles on May 26th,disney+ hulu remov slew titl may 26th,Neutral
2023-05-23T18:29:00Z,Netflix updates policy on user account sharing - Reuters,netflix updat polici user account share - reuter,Neutral
2023-06-02T02:00:32Z,Netflix shareholders withhold support for executive pay package - Reuters,netflix sharehold withhold support execut pay packag - reuter,Neutral
2023-05-07T14:30:00Z,Stranger Things 5 Production Halted as Duffer Bros. Stand with WGA,stranger thing 5 product halt duffer bros. stand wga,Neutral
2023-05-27T13:00:00Z,Netflix’s Password-Sharing Crackdown Has Hit the US,netflix ’ password-shar crackdown hit u,Neutral
2023-05-17T21:44:00Z,Netflix says ad tier now has nearly 5 million monthly active users - Reuters,netflix say ad tier nearli 5 million monthli activ user - reuter,Neutral
2023-05-26T19:07:00Z,"Obama Crossed the Picket Line, Striking Writers Say","obama cross picket line , strike writer say",Neutral
2023-05-05T17:00:00Z,The Out-of-Touch Adults’ Guide to Kid Culture: Is Tubi Secretly the Best Streaming Service?,out-of-touch adult ’ guid kid cultur : tubi secretli best stream servic ?,Positive
2023-05-26T18:13:50Z,Amazon Prime Video throws shade at Netflix for new password-sharing guidelines,amazon prime video throw shade netflix new password-shar guidelin,Positive
2023-05-16T14:18:48Z,Netflix warns UK broadband firms of crackdown on password sharing,netflix warn uk broadband firm crackdown password share,Negative
2023-05-23T19:11:45Z,Netflix crackdown on password sharing reaches the UK,netflix crackdown password share reach uk,Neutral
2023-05-22T21:03:43Z,Netflix update makes it easier to find the content you haven't watched yet (but want to),netflix updat make easier find content n't watch yet ( want ),Neutral
2023-05-04T13:15:02Z,"Streaming TV in May Brings Drama and Adventure, So Keep These Services - CNET","stream tv may bring drama adventur , keep servic - cnet",Neutral
2023-05-17T20:01:00Z,Netflix Alerts Telecoms Groups Over Looming Account-Sharing Crackdown,netflix alert telecom group loom account-shar crackdown,Neutral
2023-05-23T22:37:13Z,Netflix's controversial password-sharing crackdown hits the US,netflix 's controversi password-shar crackdown hit u,Neutral
2023-05-12T14:42:00Z,Netflix Plans To Cut Spending by $300 Million in 2023,netflix plan cut spend $ 300 million 2023,Neutral
2023-05-23T16:00:00Z,Former Netflix exec starts Midwest game publisher,former netflix exec start midwest game publish,Negative
2023-06-01T11:15:03Z,June Is Busy for Streaming Services. Let's Help You Decide Which Ones to Keep - CNET,june busi stream servic . let 's help decid one keep - cnet,Neutral
2023-05-23T08:27:56Z,"Arnold Schwarzenegger got a buzzy new job with no real function at Netflix, and he bulldozed a Mercedes Benz with his own tank to announce it","arnold schwarzenegg got buzzi new job real function netflix , bulldoz merced benz tank announc",Positive
2023-05-31T19:39:34Z,Drive to Survive commentator sacked from Formula E over ‘inappropriate behaviour’,drive surviv comment sack formula e ‘ inappropri behaviour ’,Neutral
2023-05-23T19:09:00Z,Netflix's Password Sharing Crackdown Officially Hits US Customers,netflix 's password share crackdown offici hit u custom,Neutral
2023-05-27T15:32:58Z,Netflix users slam streamer for password-sharing ban: 'I've literally never cancelled a membership so fast',netflix user slam streamer password-shar ban : ' 've liter never cancel membership fast ',Positive
2023-05-23T19:01:26Z,Netflix is going to charge $8 to add someone to your account,netflix go charg $ 8 add someon account,Neutral
2023-05-06T11:56:07Z,Ex-Yahoo CEO Marissa Mayer admits the company should have bought Netflix instead of Tumblr as it 'would have been a better acquisition',ex-yahoo ceo marissa mayer admit compani bought netflix instead tumblr 'would better acquisit ',Positive
2023-05-04T00:00:32Z,"'Hey Netflix! You broke it — now fix it': On the picket lines with Hollywood writers as they bring signs, slogans, and sunscreen to their fight against the studios for 'as long as it takes'","'hey netflix ! broke — fix ' : picket line hollywood writer bring sign , slogan , sunscreen fight studio 'a long take '",Negative
2023-05-18T16:25:18Z,Almost 5 Million People Are Using Netflix's New Plan With Ads - CNET,almost 5 million peopl use netflix 's new plan ad - cnet,Positive
2023-05-30T17:40:47Z,AC Podcast 605: Netflix's Password-Sharing Crackdown Hits The US,ac podcast 605 : netflix 's password-shar crackdown hit u,Neutral
2023-05-24T14:33:24Z,Netflix Password-Sharing Is No Longer Free in the US - CNET,netflix password-shar longer free u - cnet,Positive
2023-05-04T15:51:46Z,Amazon plans to rework Alexa in the age of ChatGPT,amazon plan rework alexa age chatgpt,Neutral
2023-05-29T18:57:19Z,The Witcher is officially one of the most successful game series of all time,witcher offici one success game seri time,Negative
2023-05-14T16:37:20Z,Bafta TV awards 2023: the full list of winners,bafta tv award 2023 : full list winner,Positive
2023-05-24T16:15:48Z,Netflix drops the first trailer for Skull Island,netflix drop first trailer skull island,Positive
2023-05-26T10:15:14Z,Digested week: Netflix bans password-sharing – but I’m close to bailing anyway | Emma Brockes,digest week : netflix ban password-shar – ’ close bail anyway | emma brock,Neutral
2023-05-06T14:00:10Z,‘I don’t recall so many attractive people’: experts reveal what The Diplomat gets right – and wrong,‘ ’ recal mani attract peopl ’ : expert reveal diplomat get right – wrong,Negative
2023-05-09T14:30:27Z,"Netflix’s next Bird Box movie has more Barcelona, less Bullock","netflix ’ next bird box movi barcelona , le bullock",Neutral
2023-05-05T09:00:00Z,The best movies on Netflix UK,best movi netflix uk,Positive
2023-05-12T12:15:02Z,The 12 Best K-Dramas to Stream on Netflix Right Now - CNET,12 best k-drama stream netflix right - cnet,Positive
2023-05-26T21:59:00Z,‘The Witcher’ confirma su quinta temporada en Netflix,‘ witcher ’ confirma su quinta temporada en netflix,Neutral
2023-05-23T19:24:48Z,Netflix pone fin a las cuentas compartidas en México,netflix pone fin la cuenta compartida en méxico,Neutral
2023-06-01T18:01:00Z,"Netflix confirmó la fecha, hora y lugar del Tudum 2023","netflix confirmó la fecha , hora lugar del tudum 2023",Neutral
2023-05-24T17:28:58Z,Chef Lidia Bastianich looks back on her family's chaotic life in Europe after WWII,chef lidia bastianich look back famili 's chaotic life europ wwii,Neutral
2023-05-06T12:00:00Z,"The best movies new to streaming on Netflix, HBO Max, Prime Video, and Hulu (May 2023)","best movi new stream netflix , hbo max , prime video , hulu ( may 2023 )",Positive
2023-05-18T16:57:08Z,Netflix stock jumps 10% on signs that its new ad-based subscription plan is booming,netflix stock jump 10 % sign new ad-bas subscript plan boom,Positive
2023-05-05T13:00:00Z,"AI, the WGA Strike, and What Luddites Got Right","ai , wga strike , luddit got right",Positive
2023-05-24T12:00:00Z,"BMW i5 Electric: Price, Range, Release Date","bmw i5 electr : price , rang , releas date",Neutral
2023-05-02T15:38:30Z,Here’s Everything New on Netflix in May 2023,’ everyth new netflix may 2023,Positive
2023-05-09T14:45:00Z,Blue Beetle Teases Harvey Guillén's Mystery New Character,blue beetl tea harvey guillén 's mysteri new charact,Positive
2023-05-03T18:30:20Z,‘La diplomática’ tendrá segunda temporada,‘ la diplomática ’ tendrá segunda temporada,Neutral
2023-05-24T17:20:47Z,"Netflix rolls out its ""crackdown"" on global password sharing",netflix roll `` crackdown '' global password share,Neutral
2023-05-17T19:03:25Z,How Netflix’s Unsolved Mysteries Led to the Rescue of a Girl Missing for 5 Years,netflix ’ unsolv mysteri led rescu girl miss 5 year,Neutral
2023-05-17T12:01:33Z,Barack Obama’s Working Is a Timely Reality Check on the American Dream—Until It Gets to the Bosses,barack obama ’ work time realiti check american dream—until get bos,Neutral
2023-05-03T13:49:32Z,"Here's how much money I made at every point in my career at Netflix, IBM, and Grubhub","'s much money made everi point career netflix , ibm , grubhub",Positive
2023-05-05T21:31:00Z,Por qué ‘Miércoles’ estuvo a punto de no ver la luz en Netflix,por qué ‘ miércol ’ estuvo punto de ver la luz en netflix,Neutral
2023-05-25T20:06:19Z,Netflix Is Cracking Down on Password Sharing in the U.S. Here’s What to Know,netflix crack password share u.s. ’ know,Neutral
2023-05-29T11:11:11Z,Una de las estrellas de ‘Daredevil’ en Netflix asegura que no hay planes para su regreso en ‘Born Again’,una de la estrella de ‘ daredevil ’ en netflix asegura que hay plane para su regreso en ‘ born ’,Neutral
2023-05-23T22:56:52Z,Netflix announces password sharing crackdown rollout in US,netflix announc password share crackdown rollout u,Neutral
2023-05-26T06:00:26Z,Changing Ends to Deadloch: the seven best shows to stream this week,chang end deadloch : seven best show stream week,Positive
2023-05-23T19:22:55Z,Netflix password sharing crackdown has finally reached the US,netflix password share crackdown final reach u,Neutral
2023-05-23T19:22:00Z,Netflix reactiva su cruzada contra las cuentas compartidas en estos países de Latinoamérica: ahora sí toca pagar,netflix reactiva su cruzada contra la cuenta compartida en esto país de latinoamérica : ahora sí toca pagar,Neutral
2023-06-01T11:15:35Z,The Morning After: What to expect from Apple’s WWDC 2023,morn : expect appl ’ wwdc 2023,Neutral
2023-05-23T23:24:19Z,Paramount Plus will be raising its prices on June 27th,paramount plu rais price june 27th,Neutral
2023-05-22T20:03:37Z,This Buzzy Reality Show Is The Top Series On Netflix Right Now,buzzi realiti show top seri netflix right,Positive
2023-05-31T16:45:47Z,Here's the trailer for Black Mirror season 6,'s trailer black mirror season 6,Negative
2023-05-25T14:45:01Z,"‘FUBAR’, crítica: Schwarzenegger vuelve en plena forma","‘ fubar ’ , crítica : schwarzenegg vuelv en plenum forma",Neutral
2023-05-15T14:09:43Z,Jennifer Lopez’s New Movie Is The Top Film On Netflix Right Now,jennif lopez ’ new movi top film netflix right,Positive
2023-05-19T09:01:14Z,Netflix lleva años estrenando muchas más series de las que podemos consumir. Ahora al fin sabemos por qué,netflix lleva año estrenando mucha má seri de la que podemo consumir . ahora al fin sabemo por qué,Neutral
2023-05-02T10:13:00Z,Netflix und Disney betroffen: Drehbuchautoren bestreiken Streamingplattformen,netflix und disney betroffen : drehbuchautoren bestreiken streamingplattformen,Neutral
2023-05-25T20:00:00Z,The 5 best horror movies to watch on Netflix and other streamers this May,5 best horror movi watch netflix streamer may,Positive
2023-05-11T14:45:00Z,"Updates From Star Wars: Skeleton Crew, and More","updat star war : skeleton crew ,",Neutral
2023-05-26T20:21:00Z,: Barack Obama says being president was a ‘hoot’ 70% of the time — but here’s what he didn’t like,: barack obama say presid ‘ hoot ’ 70 % time — ’ ’ like,Neutral
2023-05-09T17:12:30Z,"Mira el primer tráiler de ‘Bird Box Barcelona’, el spin-off de ‘A ciegas’ con Mario Casas","mira el primer tráiler de ‘ bird box barcelona ’ , el spin-off de ‘ ciega ’ con mario casa",Neutral
2023-05-12T10:03:28Z,"‘La madre’, crítica: esta vez Jennifer Lopez no logra convencernos","‘ la madr ’ , crítica : esta vez jennif lopez logra convencerno",Neutral
2023-05-31T14:58:39Z,‘Black Mirror’: mira el nuevo tráiler de la sexta temporada y conoce la fecha de estreno,‘ black mirror ’ : mira el nuevo tráiler de la sexta temporada conoc la fecha de estreno,Negative
2023-06-01T11:15:42Z,"Danny Masterson, de ‘That 70s Show’, declarado culpable de violar a dos mujeres. Enfrenta 30 años de cárcel","danni masterson , de ‘ 70 show ’ , declarado culpabl de violar do mujer . enfrenta 30 año de cárcel",Neutral
2023-05-23T19:39:05Z,Netflix password sharing is now officially dead,netflix password share offici dead,Negative
2023-05-03T11:27:56Z,"El final de temporada de ‘La diplomática’, explicado","el final de temporada de ‘ la diplomática ’ , explicado",Neutral
2023-05-15T23:49:50Z,‘Misión de rescate 2’: así se grabó la violenta secuencia con Chris Hemsworth,‘ misión de rescat 2 ’ : así se grabó la violenta secuencia con chri hemsworth,Neutral
2023-05-09T11:30:00Z,La historia real de ‘La Reina Carlota’: ¿cuál era la enfermedad de Jorge III?,la historia real de ‘ la reina carlota ’ : ¿cuál era la enfermedad de jorg iii ?,Positive
2023-05-10T20:51:00Z,"Netflix gets closer to Ash’s finale, with part 3 of Pokémon Ultimate Journeys hitting in June","netflix get closer ash ’ final , part 3 pokémon ultim journey hit june",Neutral
2023-05-17T16:57:45Z,Netflix plans to kill password sharing in the US have been delayed,netflix plan kill password share u delay,Neutral
2023-05-09T16:45:30Z,"El plan de Netflix para cortar su sangría de suscriptores es un nuevo tipo de series: las ""gourmet cheeseburgers""",el plan de netflix para cortar su sangría de suscriptor e un nuevo tipo de seri : la `` gourmet cheeseburg '',Neutral
2023-05-15T10:00:00Z,“Queen Charlotte” Has Shonda Rhimes All Over It,“ queen charlott ” shonda rhime,Neutral
2023-05-30T19:58:13Z,A 2017 Animated Hit Is A Top Movie On Netflix Right Now,2017 anim hit top movi netflix right,Positive
2023-05-15T14:43:58Z,This New True-Crime Docuseries Is A Top Show On Netflix Right Now,new true-crim docuseri top show netflix right,Positive
2023-06-01T09:26:48Z,'Black Mirror' desvela en su tráiler el inesperado objetivo de sus nuevos episodios: la propia Netflix,'black mirror ' desvela en su tráiler el inesperado objetivo de su nuevo episodio : la propia netflix,Negative
2023-05-28T12:00:08Z,I'm a VP at the company behind Advil and Tums. My day starts with double-screening YouTube and Netflix and ends with surfing Amazon ratings.,'m vp compani behind advil tum . day start double-screen youtub netflix end surf amazon rate .,Negative
2023-05-14T08:30:49Z,The week in TV: City on Fire; Turkey: Empire of Erdogan; Kids; Mulligan – review,week tv : citi fire ; turkey : empir erdogan ; kid ; mulligan – review,Neutral
2023-05-02T11:30:14Z,Hollywood writers are striking over low wages caused by streaming boom,hollywood writer strike low wage caus stream boom,Neutral
2023-05-30T16:07:33Z,Here's Absolutely Everything Coming To Netflix In June 2023,'s absolut everyth come netflix june 2023,Neutral
2023-05-27T19:01:21Z,Netflix is now streaming one of 2023’s best thrillers. Here’s why you should watch it,netflix stream one 2023 ’ best thriller . ’ watch,Positive
2023-05-24T13:47:48Z,We Still Don’t Know Anna Nicole Smith,still ’ know anna nicol smith,Neutral
2023-05-08T09:03:58Z,MTV awards: Hollywood stars stand with striking writers at pre-recorded ceremony,mtv award : hollywood star stand strike writer pre-record ceremoni,Neutral
2023-05-05T06:00:15Z,City on Fire to Queer Eye: the seven best shows to stream this week,citi fire queer eye : seven best show stream week,Positive
2023-05-12T06:00:47Z,High Desert to The Family Stallone: the seven best shows to stream this week,high desert famili stallon : seven best show stream week,Positive
2023-05-09T00:05:27Z,Game of Thrones prequel paused as Hollywood writers’ strike continues,game throne prequel paus hollywood writer ’ strike continu,Negative
2023-05-17T12:11:34Z,The trailer for Extraction 2 looks pulse-pounding,trailer extract 2 look pulse-pound,Neutral
2023-05-05T12:15:02Z,The Absolute Best Anime You Should Stream in May 2023 - CNET,absolut best anim stream may 2023 - cnet,Positive
2023-06-01T04:10:00Z,"#heiseshow: Netflix-Accountsharing, 40 Jahre Electronic Arts, Tesla-Autopilot","# heiseshow : netflix-accountshar , 40 jahr electron art , tesla-autopilot",Neutral
2023-05-24T04:30:00Z,"Mittwoch: Netflix auch hierzulande strenger, Amazon mit größerem Fire-Tablet","mittwoch : netflix auch hierzuland strenger , amazon mit größerem fire-tablet",Neutral
2023-05-25T14:19:00Z,Account-Sharing bei Netflix: Ein Mittelfinger an alle Singles,account-shar bei netflix : ein mittelfing all singl,Neutral
2023-05-16T04:30:00Z,"Dienstag: EU genehmigt Activision Blizzard-Übernahme, Sono beantragt Insolvenz","dienstag : eu genehmigt activis blizzard-übernahm , sono beantragt insolvenz",Neutral
2023-05-23T18:30:00Z,Netflix : Comment se désabonner ? (Tuto),netflix : comment se désabonn ? ( tuto ),Neutral
2023-05-28T11:16:15Z,Heat is one of the best movies ever. Here’s why you should watch it on Netflix right now,heat one best movi ever . ’ watch netflix right,Positive
2023-05-17T14:16:26Z,Missing Illinois girl featured in Netflix series Unsolved Mysteries found,miss illinoi girl featur netflix seri unsolv mysteri found,Neutral
2023-05-23T22:02:00Z,Netflix geht jetzt in Deutschland und Österreich gegen Account-Sharing vor,netflix geht jetzt deutschland und österreich gegen account-shar vor,Neutral
2023-05-30T01:46:32Z,Vox explains how A24 became one of the most consistent studios in Hollywood,vox explain a24 becam one consist studio hollywood,Neutral
2023-05-30T09:41:00Z,A 'Matilda' musical number set to Rob Zombie,'matilda ' music number set rob zombi,Neutral
2023-05-04T07:00:00Z,Starlink Nixes Plan To Impose 1TB Data Cap and Per-Gigabyte Overage Fees,starlink nix plan impos 1tb data cap per-gigabyt overag fee,Neutral
2023-05-02T14:00:00Z,"Hollywood Writers Strike Over Pay Disputes with Streaming Giants, AI Concerns","hollywood writer strike pay disput stream giant , ai concern",Neutral
2023-05-26T07:16:00Z,Prime Video spricht sich für Account-Sharing aus,prime video spricht sich für account-shar au,Neutral
2023-05-17T10:30:08Z,"10 Things in Tech: Say goodbye to the US car market as we know it, TikTok will pay for AR filters, and YouTubers share how they make money","10 thing tech : say goodby u car market know , tiktok pay ar filter , youtub share make money",Neutral
2023-05-29T13:46:29Z,"Denis Shapovalov advances, Felix Auger-Aliassime ousted at French Open - TSN","deni shapovalov advanc , felix auger-aliassim oust french open - tsn",Neutral
2023-05-05T07:30:35Z,Netflix : Zack Snyder va collaborer avec les studios d’Oggy et les Cafards,netflix : zack snyder va collabor avec le studio ’ oggi et le cafard,Neutral
2023-05-23T15:45:43Z,Netflix : le partage de compte en France terminé dès cet été ?,netflix : le partag de compt en franc terminé dè cet été ?,Neutral
2023-05-23T18:00:43Z,Netflix : le partage de compte en France c’est terminé !,netflix : le partag de compt en franc c ’ est terminé !,Neutral
2023-05-16T14:00:47Z,"C’est la crise, Netflix prend la pire décision pour faire des économies","c ’ est la crise , netflix prend la pire décision pour fair de économi",Positive
2023-05-09T18:30:26Z,Surprise ! Birdbox s’offre un spin-off sur Netflix,surpris ! birdbox ’ offr un spin-off sur netflix,Neutral
2023-05-15T20:22:00Z,Netflix will Ausgaben in diesem Jahr um 300 Millionen US-Dollar kürzen,netflix ausgaben diesem jahr um 300 millionen us-dollar kürzen,Neutral
2023-05-22T20:30:00Z,Recommended: ‘Chimp Empire’,recommend : ‘ chimp empir ’,Neutral
2023-06-01T04:30:00Z,"Donnerstag: Kfz-Schilder mit unfreiwilliger Werbung, Ende für ersten Chromecast","donnerstag : kfz-schilder mit unfreiwillig werbung , end für ersten chromecast",Neutral
2023-05-25T11:15:03Z,Keep Up With What's Streaming on TV Using These 5 Free Apps - CNET,keep 's stream tv use 5 free app - cnet,Positive
2023-05-22T23:12:00Z,Netflix makes it easier for users to navigate through ‘My List’ on its mobile app,netflix make easier user navig ‘ list ’ mobil app,Neutral
2023-05-18T09:16:03Z,Streaming: Netflix nennt erstmals Zahlen zu Werbeabo,stream : netflix nennt erstmal zahlen zu werbeabo,Neutral
2023-05-24T09:30:01Z,Comment se désabonner de Netflix ?,comment se désabonn de netflix ?,Neutral
2023-06-02T06:00:07Z,The Crowded Room to Significant Other: the seven best shows to stream this week,crowd room signific : seven best show stream week,Positive
2023-05-07T04:00:44Z,"Grand Prix de Miami : de Netflix à Las Vegas, comment la formule 1 a reconquis l’Amérique","grand prix de miami : de netflix à la vega , comment la formul 1 reconqui l ’ amériqu",Positive
2023-05-31T16:00:29Z,Netflix face une vague de désabonnements ?,netflix face une vagu de désabonn ?,Neutral
